Deal of the Century|Comedy|4.6
Eddie Macon's Run|Action|5.7
Max Dugan Returns|Comedy|6.6
The Sting II|Comedy|4.9
Baby It's You|Comedy|6.3
Heat and Dust|Drama|6.6
Going Berserk|Comedy|5.2
Daniel|Drama|6.6
Heart Like a Wheel|Biography|6.7
Love Letters|Drama|5.9
Get Crazy|Comedy|6.7
Nate and Hayes|Action|6.2
Strange Invaders|Horror|5.5
The Black Stallion Returns|Adventure|6.0
Metalstorm: the Destruction of Jared-Syn|Action|3.8
Getting It on|Comedy|3.7
Lianna|Drama|6.8
Better Late Than Never|Comedy|5.8
Lovesick|Comedy|5.2
Running Brave|Biography|6.7
Exposed|Drama|5.1
Trenchcoat|Comedy|5.3
Stryker|Action|4.3
The Man Who Wasn't There|Action|3.8
Table for Five|Drama|6.1
Romantic Comedy|Comedy|5.2
Young Warriors|Action|4.7
Man, Woman and Child|Drama|6.1
Hanna K.|Drama|6.3
Slayground|Crime|4.9
White Star|Drama|6.0
Richard Pryor... Here and Now|Comedy|7.3
Deadly Force|Action|4.9
My Brother's Wedding|Drama|7.2
Blue Skies Again|Comedy|5.4
Last Plane Out|Action|4.5
Cross Country|Thriller|5.4
A Polish Vampire in Burbank|Comedy|5.0
Forever Young|Drama|6.7
The Golden Seal|Drama|5.3
The Business of Show Business|History|8.3
The Terminator|Action|8.0
Dune|Action|6.5
Ghostbusters|Action|7.8
The Karate Kid|Action|7.3
Once Upon a Time in America|Crime|8.4
Police Academy|Comedy|6.7
Indiana Jones and the Temple of Doom|Action|7.5
Body Double|Crime|6.8
A Nightmare on Elm Street|Horror|7.5
Amadeus|Biography|8.3
Beverly Hills Cop|Action|7.3
Red Dawn|Action|6.4
The NeverEnding Story|Adventure|7.4
Footloose|Drama|6.6
Revenge of the Nerds|Comedy|6.6
Gremlins|Comedy|7.3
Romancing the Stone|Action|6.9
Streets of Fire|Action|6.7
Sixteen Candles|Comedy|7.0
Paris, Texas|Drama|8.1
This Is Spinal Tap|Comedy|7.9
1984|Drama|7.1
Top Secret!|Comedy|7.2
Conan the Destroyer|Action|5.9
Children of the Corn|Horror|5.6
The Last Starfighter|Action|6.8
Splash|Comedy|6.3
Blood Simple|Crime|7.6
The Natural|Drama|7.5
Bachelor Party|Comedy|6.3
Nausicaä of the Valley of the Wind|Animation|8.1
Friday the 13th: the Final Chapter|Horror|6.0
Hardbodies|Comedy|4.9
Against All Odds|Action|5.9
Supergirl|Action|4.4
The Bounty|Adventure|7.0
Firestarter|Action|6.1
C.H.U.D.|Horror|5.6
The Woman in Red|Comedy|6.0
Runaway|Action|5.9
The Adventures of Buckaroo Banzai Across the 8th Dimension|Adventure|6.4
Star Trek III: The Search for Spock|Action|6.7
Repo Man|Action|6.9
2010: the Year We Make Contact|Adventure|6.8
The Killing Fields|Biography|7.8
The Cotton Club|Crime|6.5
Starman|Romance|7.0
Night of the Comet|Comedy|6.4
Blame It on Rio|Comedy|5.8
Dreamscape|Action|6.3
Crimes of Passion|Drama|6.4
The Philadelphia Experiment|Adventure|6.1
Places in the Heart|Drama|7.4
Bolero|Comedy|3.0
Cannonball Run II|Action|5.1
Stranger Than Paradise|Comedy|7.5
The Ice Pirates|Action|5.7
A Passage to India|Adventure|7.3
Purple Rain|Drama|6.5
The Hotel New Hampshire|Comedy|6.0
The Hit|Crime|7.1
Sheena|Adventure|4.9
Missing in Action|Action|5.5
Greystoke: The Legend of Tarzan, Lord of the Apes|Adventure|6.4
The Muppets Take Manhattan|Adventure|6.9
The Wild Life|Comedy|6.1
Falling in Love|Drama|6.5
Gwendoline|Action|5.3
Breakin'|Comedy|5.8
Birdy|Drama|7.3
The Company of Wolves|Drama|6.7
Ghoulies|Comedy|4.2
Electric Dreams|Comedy|6.5
Cloak & Dagger|Action|6.6
Racing with the Moon|Comedy|6.7
Silent Night, Deadly Night|Horror|5.9
The Pope of Greenwich Village|Action|6.7
All of Me|Comedy|6.7
Grandview, U.S.A.|Drama|5.4
Where the Boys Are|Comedy|4.1
Reckless|Comedy|6.3
Tightrope|Crime|6.3
Rhinestone|Comedy|3.9
The Flamingo Kid|Comedy|6.2
Up the Creek|Comedy|5.6
Swing Shift|Drama|5.9
Beat Street|Drama|6.5
Joy of Sex|Comedy|3.7
Breakin' 2: Electric Boogaloo|Comedy|5.1
The Razor's Edge|Drama|6.6
Tank|Action|5.8
Moscow on the Hudson|Comedy|6.5
Ninja III: The Domination|Action|5.4
The Warrior and the Sorceress|Adventure|4.3
The Evil That Men Do|Action|6.0
Firstborn|Drama|6.2
Cut and Run|Adventure|5.7
Teachers|Comedy|6.1
Repentance|Drama|8.3
The River|Drama|6.3
Razorback|Horror|6.0
A Soldier's Story|Crime|7.2
Comfort and Joy|Comedy|6.7
Meatballs Part II|Comedy|3.7
Lassiter|Action|5.9
Irreconcilable Differences|Comedy|5.8
City Heat|Action|5.5
Under the Volcano|Drama|7.0
Iceman|Drama|6.1
Flashpoint|Action|6.4
The Little Drummer Girl|Drama|6.1
Lust in the Dust|Comedy|6.4
Hot Moves|Comedy|4.8
Oxford Blues|Comedy|5.3
Thief of Hearts|Crime|5.8
The Brother from Another Planet|Comedy|6.8
No Small Affair|Comedy|5.5
Broadway Danny Rose|Comedy|7.4
Best Defense|Comedy|3.8
Micki + Maude|Comedy|6.0
Protocol|Comedy|5.5
Exterminator 2|Action|4.5
American Dreamer|Comedy|6.6
The Lonely Guy|Comedy|6.3
Choose Me|Comedy|6.8
Making the Grade|Comedy|5.7
Full Moon in Paris|Comedy|7.4
Unfaithfully Yours|Comedy|6.0
Impulse|Horror|5.9
Mrs. Soffel|Drama|6.1
Garbo Talks|Comedy|6.4
Country|Drama|6.7
Cheech & Chong's the Corsican Brothers|Comedy|4.7
Purple Hearts|Drama|5.8
Give My Regards to Broad Street|Drama|5.2
Songwriter|Drama|6.3
Finders Keepers|Comedy|5.4
The Bostonians|Drama|6.3
Body Rock|Drama|3.7
The River Rat|Adventure|6.3
Just the Way You Are|Comedy|5.9
Until September|Drama|5.7
Crackers|Adventure|5.2
Kaos|Comedy|7.9
Misunderstood|Drama|6.0
Mike's Murder|Drama|5.8
The Buddy System|Drama|5.7
A Private Function|Comedy|6.5
Scandalous|Comedy|4.5
Oh, God! You Devil|Comedy|5.4
The Bay Boy|Drama|6.3
Heavenly Bodies|Drama|5.2
Heartbreakers|Drama|5.9
Champions|Biography|6.5
A Sunday in the Country|Drama|7.6
Mass Appeal|Drama|6.6
Windy City|Drama|5.8
Lovelines|Comedy|5.3
The Bear|Biography|6.1
